,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,boroughs
10006,15937910,75206611,Entire home/apt,Oud Oost,3,4.5,2,1.0,144.0,Luxurious apartment near the canals of Amsterdam,52.350612,4.912381,Oost
10007,18278311,43365878,Entire home/apt,De Pijp / Rivierenbuurt,0,0.0,4,3.0,138.0,Great family apartment next to the Amstel River,52.348687,4.909313,Zuid
10008,6722220,9684747,Entire home/apt,Oud Oost,2,0.0,2,0.0,144.0,Beautiful bright appartment,52.356393,4.922443,Oost
10009,14446952,59860696,Entire home/apt,Oud Oost,4,5.0,2,1.0,144.0,Stylish and spacious apartment with roof terrace,52.354644,4.924136,Oost
10010,7269508,12227427,Entire home/apt,Oud Oost,30,5.0,2,1.0,131.0,"Cosy & hip apartment, close to centre",52.363138,4.92838,Oost
10011,14439841,88897829,Entire home/apt,Oud Oost,7,4.5,2,1.0,126.0,Lovely spacious City apartment near a great park,52.358234,4.914655,Oost
10012,18339873,9574877,Entire home/apt,Oud Oost,0,0.0,2,1.0,132.0,Bright apartment close to Oosterpark,52.357752,4.924888,Oost
10013,16655492,85268888,Entire home/apt,Oud Oost,3,5.0,2,1.0,132.0,Very chill appartement in booming Amsterdam Oost,52.360474,4.928042,Oost
10014,13740588,35385973,Entire home/apt,Watergraafsmeer,4,5.0,2,2.0,131.0,Appartment in Amsterdam in cozy watergraafsmeer,52.352545,4.926966,Oost
10015,19345997,135262518,Entire home/apt,Oud Oost,0,0.0,2,2.0,126.0,To share is to take care,52.355605,4.917636,Oost
10016,19534146,22302103,Entire home/apt,Oud Oost,3,5.0,4,2.0,144.0,Beautiful bright apartment with a view,52.349242,4.913287,Oost
10017,8289108,4927986,Entire home/apt,De Pijp / Rivierenbuurt,0,0.0,2,1.0,132.0,Cosy & Clean apartment near RAI  and Pijp w garden,52.346387,4.909263,Zuid
10018,11232219,58552545,Entire home/apt,De Pijp / Rivierenbuurt,6,5.0,2,1.0,144.0,"Light, spacious sunny apartment",52.34622,4.905397,Zuid
10019,19960152,7594884,Entire home/apt,Oud Oost,0,0.0,4,2.0,141.0,Large two bedroom/floor apartment,52.354055,4.924621,Oost
10020,17361996,50892346,Entire home/apt,Oostelijk Havengebied / Indische Buurt,9,4.0,3,0.0,140.0,Amazing Apartment Java,52.362874,4.933948,Oost
10021,9932417,50433218,Entire home/apt,Watergraafsmeer,0,0.0,8,3.0,143.0,Nice apt Eastern area for 4-8 pers,52.355866,4.933062,Oost
10022,6832721,8816010,Entire home/apt,Watergraafsmeer,8,5.0,2,1.0,143.0,Great House with Sunny Backyard,52.352261,4.936646,Oost
10023,13522872,77689783,Entire home/apt,Watergraafsmeer,2,0.0,2,3.0,132.0,Luxurious spacious family home with sunny garden!,52.350478,4.936628,Oost
10024,19617361,9081577,Entire home/apt,Watergraafsmeer,0,0.0,2,1.0,132.0,Lovely apartment with garden,52.35101,4.940808,Oost
10025,19045363,55788542,Entire home/apt,Oostelijk Havengebied / Indische Buurt,0,0.0,2,1.0,126.0,Lovely apartment in cool area (close to centre),52.362198,4.93524,Oost
10026,7570081,39689218,Entire home/apt,Oostelijk Havengebied / Indische Buurt,1,0.0,2,1.0,144.0,Ruim appartement met tuin,52.363935,4.943078,Oost
10027,364728,1155851,Entire home/apt,Centrum Oost,99,4.5,4,2.0,143.0,Fancy decorated little Tsarina 70m2 privéapartment,52.371016,4.930617,Centrum
10028,12183524,19852998,Entire home/apt,Oostelijk Havengebied / Indische Buurt,2,0.0,2,1.0,132.0,Large apartment 15 min. from centre,52.359557,4.944895,Oost
10029,13666308,669178,Entire home/apt,Ijburg / Eiland Zeeburg,3,3.5,4,3.0,143.0,LOVELY 2 bedroom family home with balcony!,52.360915,4.975003,Westpoort
10030,8121856,7982949,Entire home/apt,Oostelijk Havengebied / Indische Buurt,5,5.0,2,1.0,144.0,Zen & Spacious | Jacuzzi & Roof Terrace,52.361328,4.946103,Oost
10031,19513819,1716961,Entire home/apt,Oostelijk Havengebied / Indische Buurt,0,0.0,2,1.0,131.0,Lovely apartment with roofterrace in great area,52.362629,4.938781,Oost
10032,14661915,1716961,Entire home/apt,Oostelijk Havengebied / Indische Buurt,0,0.0,2,1.0,143.0,Lovely apartment with roofterrace and friendly cat,52.3629,4.940658,Oost
10033,13220878,12792115,Entire home/apt,Oostelijk Havengebied / Indische Buurt,21,5.0,4,0.0,138.0,Modern Bright Studio for 4 City Explorers,52.360454,4.934196,Oost
10034,10250790,6791648,Entire home/apt,Watergraafsmeer,35,5.0,3,0.0,126.0,"NEW: Stylish, luxurious apt. near the centre",52.353774,4.93188,Oost
10035,19816346,60014627,Entire home/apt,Watergraafsmeer,0,0.0,5,3.0,144.0,Sunny family apartement in East Amsterdam,52.350589,4.944993,Oost
10036,11248354,3538107,Entire home/apt,Oostelijk Havengebied / Indische Buurt,4,5.0,4,2.0,144.0,GREAT BRIGHT & SPACIOUS PENTHOUSE,52.362856,4.932432,Oost
10037,1068565,5878526,Entire home/apt,Ijburg / Eiland Zeeburg,59,5.0,4,1.0,138.0,House along the water in Amsterdam,52.360701,4.975036,Westpoort
10038,16967348,113356465,Entire home/apt,Oostelijk Havengebied / Indische Buurt,13,5.0,2,1.0,130.0,Light & bright apartment in hip Oost,52.363017,4.938185,Oost
10039,7898257,41643553,Entire home/apt,Oostelijk Havengebied / Indische Buurt,8,5.0,2,2.0,132.0,"Bright, charming 3-room apartment",52.360446,4.943404,Oost
10040,1812905,7751416,Entire home/apt,Oostelijk Havengebied / Indische Buurt,3,5.0,2,1.0,132.0,Spacious & light apt. in East-side of Amsterdam,52.360932,4.94486,Oost
10041,11310110,17593168,Entire home/apt,Oostelijk Havengebied / Indische Buurt,13,5.0,2,1.0,137.0,Renovated apartment close 2 center,52.359189,4.937545,Oost
10042,13352166,75698889,Entire home/apt,Ijburg / Eiland Zeeburg,23,4.5,4,1.0,132.0,Apartment in Marina,52.362486,4.963007,Westpoort
10043,14200603,13986430,Entire home/apt,Westerpark,16,4.5,3,1.0,126.0,COZY AND ARTSY GROUNDFLLOOR APARTMENT,52.388498,4.879822,West
10044,5781996,4865219,Entire home/apt,Centrum West,32,4.5,2,1.0,132.0,Sleeping in the heart of Amsterdam,52.380648,4.885036,Centrum
10045,8286308,5205425,Entire home/apt,Oud Noord,6,5.0,4,2.0,126.0,"Modern, vrij uitzicht, vlakbij CS",52.38337,4.917435,West
10046,10010183,51414637,Entire home/apt,Centrum West,15,4.0,3,1.0,132.0,Amazing apartment @ great location!,52.378413,4.880033,Centrum
